"x"
"先生 言うのなりたいものになりなさいあの娘の夢はお姫さまで僕の夢は人間になることさ僕は口紅 君のはじめて奪うキスの相手になれたらきっと人間になれるよあの娘は変わる 煙草ふかし僕は捨てられた君の夢さ折れた口紅 君の泣き顔汚す赤い赤い口紅さ君の流す血と同じさねえ神様もしもいるとするなら叶えてよあの娘の願いを叶えてよ僕の願い""安らかに眠れよ""""くちびる捧げよ""あなたが悪魔でもかまわない僕はピストルの弾になってあの娘を追いつめる朝日から守ってやるあなたが悪魔なら赦さない僕はアルコールのひとしずくあの娘を追いつめる夜明けなど消すんだR.I.P.スティックR.I.P.スティックR.I.P.スティックR.I.P.スティックR.I.P.スティックR.I.P.スティックR.I.P.スティックR.I.P.スティック塗ってあの娘の墓にくちづけ僕は人間らしくまだ出来そこないの夢かかえている出来合いの愛にも似たルージュの痕を安らかに眠ったらなりたいものになりなさい"
"身体がちょっと透明です涙もちょっと透明です心はどっか忘れました昨日がちょっと透明です明日はやや不透明です言葉はどっかこだましてる孤独な惑星で今夜テレビつけたまま眠るの見えない世界を見つめて僕すらいない世界でニュースはちょっと鈍感ですネットはちょっと敏感です優しい嘘がつけるってパエトーンから聞いたんですブラッドベリは知ったんですあらゆる文字は燃えるって孤独な惑星に今夜不時着した夢を見るのラジウムみたい見えなくて声なき声は聴こえなくて幽霊だから会えない夕暮れまでに会えないu星より愛をこめて火傷みたくさ透明だって人間です幽霊だって人間です透明だって人間です幽霊だって人間です透明だって人間です幽霊だって人間です見えなくたって人間です聴こえない歌うたうんです幽霊だから会えない夕日に溶けて会えないu星より愛をこめてハートから焼けただれてさ言葉だけ残してさ言葉だけになってさu星より愛をこめて火傷みたくさ声なき声に言葉がきっと歌なき歌を歌ってもっと"
"あした地震がおこったらあなたに会いに行けるかなビルとビルとがぶつかって夢と魔法の国になるあした地震がおこったら時間空間ねじまがりあたし自身がなくなって愛の彷徨い人になるあした時計が止まったらあたし少女でいれるかな今日と昨日がぶつかって日がのぼらない国になるせっかく買った服は燃えたしブログのファルス 君のアドレスすべて消えて 分かってたけど東京はなかった 街はなかったぜんぶみんなのまぼろし夢じゃなかった 悪夢じゃなかったそれがあたしの青春あした地震がおこったらあなたは会ってくれるかなおっきなおっきなキスマーク地面につけてくれるかなせっかく飼ったうさぎを埋めて柔らかな日差し 君の眼差しそうよ 最初から知ってたの東京はなかった 都市はなかったぜんぶみんなの思い出光らなかった日々はなかったそれがあたしの東京はなかった 街はなかったぜんぶみんなのまぼろし夢じゃなかった 悪夢じゃなかったそれがあたしの青春あした地震がおこったら"
"先生ごめんなさい 恋に落ちてごめんなさい恋に生きてごめんなさい 恋破れてごめんなさい先生ごめんなさい 花になってごめんなさい春に咲いてごめんなさいごめんなさいごめんなさい子供じゃないから孤独になれないの 心の場所をさわって「子供ができるまで孤独に耐えなさい ここは地獄なんだから」思春期末試験の答案血まみれだわ振り向いたら負けなの涙が塩に変わるわ夢は持てないから夢になりたいの 誰かの傷をさわって「夢になりたければナイフを捨てなさい ここは平和なんだから」あしたの朝礼でみんな泣いてくれるかな「やけっぱちのマリア様がみてる だけど だから お願い」セーラー服を脱がないで 生徒手帳を捨てないで性教育に学ばないで 清純なままの君でいて先生ごめんなさい 受験落ちてごめんなさい受難の日々ごめんなさい 大人はわかってくれない「大人のふりしても 大人になんかなれない男と女になりたくない 裸になれない」あしたの朝刊であたし笑ってるかな「やけっぱちのアリス そのまま タイムマシンにお願い だから」聖なる夜を汚さないで 生と死なんて語らないで政治みたいなキスしないで 制服のままの君でいてセーラー服を脱がないで 生徒手帳を捨てないで性教育に学ばないで 清純なままの…聖なる夜を汚さないで 生と死なんて語らないで政治みたいなキスしないで 制服のままの君でいて勉強できなくて恋もできない ダメなあたしなの恋も勉強も難しすぎる 毎日地獄なの"
"傷だらけのマリア手首占い大凶ばっかりブログはトートロジーひとりぼっちのマリア春は売らない誰にも買えないあいまいアナロジー普通じゃないことしてみたい音信不通の恋したい普通の女の子だから普通になりたくない風の中のマリア保健室のベッド 悪夢ばっかりたりないタナトロジー真夜中のマリアホテルのベッド うさぎばっかりこぼれるコスモロジー個性的なことしてみたい 個性がないから個性的な女の子は こんな音楽 聴かない傷つきたくないから傷つきたいの傷つけられる前に傷つきたいの受難の季節 十五の夜それだけが薬なの顔がない 傷だらけのマリア夢がない 行方知れずマリア春がない 儚い ハカがない人じゃない ひとりぼっちのマリア傷だらけのマリア手首占いアタらずハズれずブログはサイコロジーひとりぼっちのマリア運命線が人身事故ならとび出すトポロジー普通じゃないことしてみたいだけど普通の恋したい普通の女の子だから普通になりたくないけどキスをしたくないのは気づかれるから気づかれたくない恋 気づかれるから地獄の季節 時効につきジュブナイル走りだすコメントはいらないトラックバックもいらない見つめて 蔑んで愛はアイロニー傷つきたくないから傷つきたいの傷つけられる前に傷つきたいの受難の季節 十五の夜それだけが救いなの"
"汚れた鏡の鏡の向こうであたしのあたしは舌打ちあやまちスカーレット・スカートは戦争でいっぱいもうじき三日三晩でコウノトリ撃ち抜くの地下鉄から見る光の速さで少女のあたしをもいちど見つけてフィルムのとぎれとぎれのスラップ・スティックなスランプいい子になりたいくせにギロチンの夢みるの体がちぢむのはすこしお薬のみすぎたせい醜い髪にリボンを醜い顔にルージュを醜い指にビーズを醜い足にヒールを血が止まらないのはパパとママの秘密見たせい「嘘よ」醜い髪にリボンを醜い顔にルージュを醜い指にビーズを醜い足にヒールを醜い歌にギターを醜い愛にポーズを醜い街にジープを醜い朝にショーツを汚れた鏡の鏡の向こうで焼け跡みたいにかきむしられたスカーレット・スカートはカタルシスでいっぱいもうじき三日三晩の手紙破り捨てるの来ないの来たの来るはずなの夢に見たの見つめたの見ないでほしいのスカーレット・スカートはその日に脱ぎ捨ててちぎれた手足を運ぶ風とともに去るの汚れた鏡の鏡の向こうであたしのあたしは舌打ち耳打ち「地下鉄から見る光の速さで少女のあたしをもいちど見つけて」汚れた鏡の鏡の向こうであたしのあたしは舌打ちくちづけ「地下鉄から見る光の速さで少女のあたしをもいちど見つけて」"
"銀ノ林檎ニ唇ヨセテ黙ツテイル貴方港行キノ電信(ライン)ニ今日ハ既読ガ付イタケレドあいこんダカラ云ヘナイ愛シテヰルト云ヘナイあいこんダケド云ヘナイ愛シテヰルガ云ヘナクテタダ海ヲ眺メテタ貴方ヲ奪ツタ漣眺メテタあいこん御一ツ如何貴方モ御一ツ如何あいこん御一ツ如何私ニ御一ツ如何銀ノ貝殻ヲ耳ニ当テテ微笑ンデル貴方海底(ウナゾコ)カラノ電信(ライン)ニ海猫(ウミネコ)ノ切手(スタンプ)付ケテ海星(ヒトデ)ノ切手(スタンプ)付ケテ星屑ノ指環モ付ケテ貴方待ツテル 私待ツテル 貴方"
"ねえ あの日生まれるはずだったあの子 名前おしえてねえ あの日十字にかけられた傷の痕をみせてあなたは神様みたいに黙って知らんぷり世の中騒がし ささやき聴こえないいつでもわたしを見つめてくれた涙こぼれる夜に歌ってくれたいつでもあなたを探してたもういない もういないあの子はアイという名前でしたあなたは神様みたいに黙って微笑んで命を奪って 気まぐれに与えてあなたがわたしの青春でした最後は涙でぐしゃぐしゃだったけどわたしきっと幸せでしたこの気持ち この気持ちアイと呼べるのかないつでもわたし あなた見てた眠れない夜にそっとくちづけしたいつでもあなたを追いかけたさようなら さようならあの日に生まれたのはアイですか"
"あくまでも悪魔ですあなたの前じゃ女の子演じても悪魔です恋することが何よりの証拠です人間は恋するなんて悪いことできないの 知らないのあなたに教えてあげる摩天楼 飛んでゆく影からさかさまのハートを 見つけてよわたし悪魔だけど天使だけど悪魔天使だけど そう あくまで悪魔だけど天使だけど悪魔だけど わたし悪魔だけど天使だけど悪魔天使だけど でも あくまで悪魔だけど天使だけど悪魔わたし あくまで悪魔誰ひとり 傷つかぬ恋ならきっと恋じゃない誰かがね 傷つくのあなたはきっと知らない白い羽根 生えてるというなら指先のダンスで たしかめてきっと愛じゃなくて恋じゃなくて悪魔ハート ヒートさせるものは愛じゃなくて恋じゃなくて悪魔それは きっと愛じゃなくて恋じゃなくて悪魔ハート ビートさせる理由は愛じゃなくて恋じゃなくて悪魔きっと あくまで悪魔口紅で唇を真っ赤に染めた女の子マニキュアで長い爪 真っ青にした女の子白い肌 黒い羽 四六時中白黒モノクロモノローグはもう御免さメフィストフェレスとキッスも御免さ誰も知らない知られちゃいけない君の唇 赤くなる理由を誰も知らない知られちゃいけない君の瞳が 濡れてる理由をあくまで悪魔であくまで悪魔でも今夜愛も恋も夢も嘘も消えて空も街も闇に落ちてあなたわたし曖と昧になって人はみんな悪魔だけど天使だけど悪魔天使だけど でも あくまで悪魔だけど天使だけど悪魔あなた あくまで悪魔"
"さあ　目がみえなくなれさあ　口がきけなくなればいいママのクロゼット　思い出してさあ　醜くなればいいさあ　言葉なんてなくなればいいパパと秘密　交わす夜に十字をかけて　自殺者に字幕をつけて　じっと見つめてる雨はパーフェクト・ブルー　あたしの頬を伝って幽霊はここにいる　きっとそうね雨はマタニティ・ブルー　ローズマリーに伝えて幽霊はここにいる　きっとそうね　ふるえる影そう　いばらの冠はそう　バラバラのパズルみたいあの子のからだ誰かのもの十字を切って　自傷する少女が見てる　じっと見つめてる雨はパーフェクト・ブルー　あなたのめまいのダンス幽霊はここにいる　きっとそうね雨はマリッジ・ブルー　ローラ・パーマーみたいに死神にくちづけを　きっとそうね　ふるえる愛雨はパーフェクト・ブルー　誰かの頬を伝って幽霊はここにいる　きっとそうね雨はぎりぎりブルー　赤い傷ぬりつぶして幽霊はここにいる　きっとそうね　鏡をみて"
